DATE,UNEMPB4,UNEMPB3,UNEMPB2,UNEMPB1,UNEMPF0,UNEMPF1,UNEMPF2,UNEMPF3,UNEMPF4,UNEMPF5,UNEMPF6,UNEMPF7,UNEMPF8,UNEMPF9,GBdate
1967.1,3.8,3.8,3.8,3.7,3.8,4.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670329
1967.2,3.8,3.8,3.7,3.7,4,4.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670426
1967.2,3.8,3.8,3.7,3.7,3.9,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670517
1967.2,3.8,3.8,3.7,3.7,3.9,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670614
1967.3,3.8,3.7,3.7,3.8,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670717
1967.3,3.8,3.7,3.7,3.8,3.9,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670809
1967.3,3.8,3.7,3.7,3.8,3.8,3.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670907
1967.3,3.8,3.7,3.7,3.8,3.8,3.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19670927
1967.4,3.7,3.7,3.8,3.9,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19671018
1967.4,3.7,3.7,3.8,3.9,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19671108
1967.4,3.7,3.7,3.8,3.9,4,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19671206
1968.1,3.7,3.8,3.9,4,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680104
1968.1,3.7,3.8,3.9,4,3.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680131
1968.1,#N/A,#N/A,#N/A,#N/A,3.7,3.6,3.8,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680206
1968.1,3.7,3.8,3.9,3.8,3.6,3.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680228
1968.1,3.7,3.8,3.9,3.9,3.6,3.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680327
1968.2,3.8,3.9,3.9,3.6,3.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680424
1968.2,3.8,3.9,3.9,3.6,3.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680522
1968.2,3.8,3.9,3.9,3.6,3.5,3.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680612
1968.3,3.9,3.9,3.6,3.6,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680710
1968.3,3.9,3.9,3.6,3.6,3.8,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680807
1968.3,3.9,3.9,3.6,3.6,3.7,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19680904
1968.4,3.9,3.6,3.6,3.6,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19681002
1968.4,3.9,3.6,3.6,3.6,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19681023
1968.4,#N/A,3.6,3.6,3.6,3.7,3.9,4.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19681120
1968.4,#N/A,3.6,3.6,3.6,3.5,3.7,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19681211
1969.1,3.6,3.6,3.6,3.4,3.6,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690108
1969.1,3.6,3.6,3.6,3.4,3.6,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690129
1969.1,#N/A,#N/A,3.6,3.4,3.5,3.8,4,4.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690226
1969.1,#N/A,#N/A,3.6,3.4,3.3,3.5,3.7,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690326
1969.2,#N/A,3.6,3.4,3.3,3.4,3.6,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690423
1969.2,#N/A,3.6,3.4,3.3,3.5,3.6,3.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690521
1969.2,#N/A,3.6,3.4,3.3,3.5,3.7,3.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690618
1969.3,#N/A,#N/A,3.3,3.5,3.6,3.9,4.1,4.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690709
1969.3,#N/A,#N/A,3.3,3.5,3.7,3.9,4.1,4.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690806
1969.3,#N/A,#N/A,3.3,3.5,3.7,3.9,4.1,4.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19690904
1969.4,#N/A,3.3,3.5,3.7,3.9,4.2,4.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19691001
1969.4,#N/A,3.3,3.5,3.7,4,4.2,4.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19691022
1969.4,#N/A,#N/A,3.5,3.7,4,4.2,4.5,4.8,5,#N/A,#N/A,#N/A,#N/A,#N/A,19691119
1969.4,#N/A,#N/A,3.5,3.7,3.7,4.1,4.5,4.7,4.9,#N/A,#N/A,#N/A,#N/A,#N/A,19691210
1970.1,#N/A,3.5,3.7,3.6,4,4.5,4.6,4.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700107
1970.1,#N/A,3.5,3.7,3.6,4.2,4.6,4.9,5.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700204
1970.1,#N/A,3.5,3.6,3.6,4.2,4.6,4.9,5.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700304
1970.2,3.5,3.6,3.6,4.2,4.4,4.7,4.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700401
1970.2,3.5,3.6,3.6,4.1,4.6,4.7,4.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700429
1970.2,3.5,3.6,3.6,4.1,4.9,5.1,5.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700520
1970.2,#N/A,#N/A,#N/A,4.1,5,5.3,5.6,5.8,6,#N/A,#N/A,#N/A,#N/A,#N/A,19700617
1970.3,#N/A,#N/A,4.1,4.8,5.1,5.4,5.6,5.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700715
1970.3,#N/A,#N/A,4.1,4.8,5.1,5.3,5.5,5.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700812
1970.3,#N/A,#N/A,4.1,4.8,5.1,5.3,5.5,5.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19700909
1970.4,#N/A,4.1,4.8,5.2,5.6,5.8,5.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19701014
1970.4,#N/A,#N/A,#N/A,5.2,5.7,6,6.3,6.6,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,19701111
1970.4,#N/A,#N/A,#N/A,5.2,5.7,6,6.3,6.6,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,19701209
1971.1,#N/A,#N/A,5.2,5.8,6,6.3,6.6,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710106
1971.1,#N/A,#N/A,5.2,5.8,6.1,6.3,6.5,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710203
1971.1,#N/A,#N/A,5.2,5.9,6,6.2,6.5,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710303
1971.1,#N/A,#N/A,5.2,5.9,6,6.3,6.5,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710331
1971.2,#N/A,5.2,5.9,5.9,6.2,6.4,6.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710428
1971.2,#N/A,5.2,5.9,5.9,6.2,6.4,6.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710602
1971.2,#N/A,#N/A,#N/A,5.9,6.2,6.5,6.6,6.5,6.3,#N/A,#N/A,#N/A,#N/A,#N/A,19710623
1971.3,#N/A,#N/A,5.9,6,6.2,6.4,6.3,6.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710721
1971.3,#N/A,#N/A,5.9,6,6.1,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710820
1971.3,#N/A,#N/A,5.9,6,6.1,6,5.8,5.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19710915
1971.4,#N/A,5.9,6,6,5.9,5.7,5.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19711013
1971.4,#N/A,#N/A,#N/A,6,5.8,5.7,5.6,5.5,5.3,#N/A,#N/A,#N/A,#N/A,#N/A,19711110
1971.4,#N/A,#N/A,#N/A,6,5.9,5.7,5.6,5.5,5.3,#N/A,#N/A,#N/A,#N/A,#N/A,19711208
1972.1,#N/A,#N/A,6,6,5.9,5.8,5.6,5.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19720107
1972.1,#N/A,#N/A,6,5.9,5.8,5.7,5.6,5.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19720209
1972.1,#N/A,#N/A,6,5.9,5.8,5.7,5.6,5.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19720315
1972.2,#N/A,6,5.9,5.8,5.7,5.5,5.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19720412
1972.2,#N/A,6,5.9,5.8,5.7,5.5,5.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19720517
1972.2,#N/A,6,5.9,5.8,5.8,5.6,5.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19720614
1972.3,#N/A,5.9,5.8,5.8,5.6,5.3,5.2,5.1,5,5,#N/A,#N/A,#N/A,#N/A,19720712
1972.3,#N/A,5.9,5.8,5.7,5.5,5.3,5.2,5.1,5,5,#N/A,#N/A,#N/A,#N/A,19720809
1972.3,#N/A,5.9,5.8,5.7,5.5,5.3,5.1,5,4.9,4.8,#N/A,#N/A,#N/A,#N/A,19720913
1972.4,5.9,5.8,5.7,5.6,5.4,5.2,5,4.9,4.8,#N/A,#N/A,#N/A,#N/A,#N/A,19721011
1972.4,5.9,5.8,5.7,5.6,5.4,5.2,5.1,5,4.9,#N/A,#N/A,#N/A,#N/A,#N/A,19721115
1972.4,#N/A,#N/A,#N/A,5.6,5.3,5.1,5,4.9,4.8,#N/A,#N/A,#N/A,#N/A,#N/A,19721213
1973.1,#N/A,#N/A,5.6,5.3,5.1,4.9,4.8,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19730110
1973.1,#N/A,#N/A,5.6,5.3,5,4.9,4.8,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19730207
1973.1,#N/A,#N/A,5.6,5.3,5,4.9,4.8,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19730314
1973.2,#N/A,5.6,5.3,5,4.9,4.8,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19730411
1973.2,#N/A,5.6,5.3,5,4.9,4.8,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19730509
1973.2,#N/A,5.6,5.3,5,5,4.8,4.8,4.9,5.1,5.3,5.5,#N/A,#N/A,#N/A,19730618
1973.3,5.6,5.3,5,4.9,4.7,4.7,4.9,5.1,5.3,5.5,#N/A,#N/A,#N/A,#N/A,19730711
1973.3,5.6,5.3,5,4.9,4.7,4.7,4.9,5.1,5.3,5.5,#N/A,#N/A,#N/A,#N/A,19730815
1973.3,5.6,5.3,5,4.9,4.7,4.7,4.9,5.1,5.3,5.5,#N/A,#N/A,#N/A,#N/A,19730912
1973.4,5.3,5,4.9,4.8,4.7,4.9,5.1,5.3,5.5,#N/A,#N/A,#N/A,#N/A,#N/A,19731010
1973.4,5.3,5,4.9,4.8,4.6,4.7,4.8,5,5.2,#N/A,#N/A,#N/A,#N/A,#N/A,19731114
1973.4,5.3,5,4.9,4.8,4.7,5.1,5.5,5.8,6,#N/A,#N/A,#N/A,#N/A,#N/A,19731212
1974.1,5,4.9,4.8,4.7,5.2,5.5,5.8,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19740116
1974.1,#N/A,#N/A,4.7,4.7,5.4,5.8,6,6.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19740213
1974.1,#N/A,#N/A,4.7,4.7,5.3,5.8,6,6.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19740313
1974.2,4.9,4.7,4.7,5.2,5.5,5.7,5.9,6.1,6.3,#N/A,#N/A,#N/A,#N/A,#N/A,19740410
1974.2,4.9,4.7,4.7,5.2,5.2,5.5,5.7,5.9,6.1,#N/A,#N/A,#N/A,#N/A,#N/A,19740515
1974.2,4.9,4.7,4.7,5.2,5.2,5.6,5.9,6.1,6.3,#N/A,#N/A,#N/A,#N/A,#N/A,19740612
1974.3,#N/A,#N/A,5.2,5.1,5.5,5.8,6.2,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19740710
1974.3,4.7,4.7,5.2,5.1,5.5,6,6.4,6.7,7.1,7.3,#N/A,#N/A,#N/A,#N/A,19740814
1974.3,4.7,4.7,5.2,5.1,5.5,6,6.5,6.8,7.1,7.3,#N/A,#N/A,#N/A,#N/A,19740904
1974.4,4.7,5.2,5.1,5.5,6.1,6.6,7,7.3,7.5,#N/A,#N/A,#N/A,#N/A,#N/A,19741009
1974.4,#N/A,#N/A,#N/A,5.5,6.4,6.8,7.2,7.6,7.8,#N/A,#N/A,#N/A,#N/A,#N/A,19741113
1974.4,#N/A,#N/A,#N/A,5.5,6.5,7.3,7.7,8,8.1,8.2,8.3,#N/A,#N/A,#N/A,19741211
1975.1,5.2,5.1,5.5,6.5,7.6,8,8.2,8.1,8.1,8.2,#N/A,#N/A,#N/A,#N/A,19750115
1975.1,5.2,5.1,5.5,6.6,8.5,9.2,9.5,9.3,9.3,9.3,#N/A,#N/A,#N/A,#N/A,19750212
1975.1,5.2,5.1,5.5,6.6,8.4,9.2,9.5,9.3,9.3,9.2,#N/A,#N/A,#N/A,#N/A,19750312
1975.2,5.1,5.5,6.6,8.3,9.1,9.3,9.2,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,19750409
1975.2,5.1,5.5,6.6,8.3,9.2,9.4,9.3,9.1,9.1,#N/A,#N/A,#N/A,#N/A,#N/A,19750514
1975.2,5.1,5.5,6.6,8.3,9.2,9.2,9,8.9,8.8,8.6,8.5,#N/A,#N/A,#N/A,19750611
1975.3,5.5,6.6,8.3,8.9,9,8.8,8.7,8.5,8.3,8.2,#N/A,#N/A,#N/A,#N/A,19750709
1975.3,5.5,6.6,8.3,8.9,8.6,8.3,8.1,7.9,7.8,7.6,#N/A,#N/A,#N/A,#N/A,19750813
1975.3,5.5,6.6,8.3,8.9,8.4,8.1,7.9,7.7,7.6,7.5,#N/A,#N/A,#N/A,#N/A,19750910
1975.4,6.6,8.3,8.9,8.4,8.1,8,7.9,7.7,7.7,#N/A,#N/A,#N/A,#N/A,#N/A,19751015
1975.4,6.6,8.3,8.9,8.4,8.3,8.1,8,7.8,7.8,#N/A,#N/A,#N/A,#N/A,#N/A,19751112
1975.4,6.6,8.3,8.9,8.4,8.4,8.2,8.1,7.9,7.9,#N/A,#N/A,#N/A,#N/A,#N/A,19751210
1976.1,8.3,8.9,8.4,8.4,8.2,8.1,7.9,7.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19760114
1976.1,8.1,8.7,8.6,8.5,7.9,7.6,7.4,7.3,7.2,7.1,#N/A,#N/A,#N/A,#N/A,19760211
1976.1,8.1,8.7,8.6,8.5,7.6,7.4,7.4,7.2,7.1,7,#N/A,#N/A,#N/A,#N/A,19760310
1976.2,8.7,8.6,8.5,7.6,7.3,7.3,7.2,7.1,7,#N/A,#N/A,#N/A,#N/A,#N/A,19760414
1976.2,8.7,8.6,8.5,7.6,7.4,7.2,7.1,6.9,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,19760512
1976.2,8.7,8.6,8.5,7.6,7.3,7.1,7,6.9,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,19760616
1976.3,8.6,8.5,7.6,7.4,7.3,7.1,6.9,6.8,6.6,6.5,#N/A,#N/A,#N/A,#N/A,19760714
1976.3,#N/A,#N/A,7.6,7.4,7.6,7.3,7,6.8,6.6,6.5,#N/A,#N/A,#N/A,#N/A,19760811
1976.3,#N/A,#N/A,7.6,7.4,7.8,7.4,7.1,6.9,6.7,6.6,#N/A,#N/A,#N/A,#N/A,19760915
1976.4,#N/A,7.6,7.4,7.8,7.5,7.2,7,6.9,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,19761013
1976.4,#N/A,7.6,7.4,7.8,7.7,7.5,7.4,7.3,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,19761110
1976.4,#N/A,7.6,7.4,7.8,8,7.9,7.7,7.5,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,19761215
1977.1,7.6,7.4,7.8,8,7.9,7.6,7.3,7.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19770112
1977.1,#N/A,#N/A,7.8,7.9,7.7,7.4,7.2,7.1,6.9,6.7,#N/A,#N/A,#N/A,#N/A,19770209
1977.1,#N/A,#N/A,7.8,7.9,7.4,7.2,7.1,7,6.7,6.6,#N/A,#N/A,#N/A,#N/A,19770309
1977.2,#N/A,7.8,7.9,7.4,7.2,7.1,7,6.8,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,19770415
1977.2,#N/A,7.8,7.9,7.4,6.9,6.8,6.7,6.5,6.4,#N/A,#N/A,#N/A,#N/A,#N/A,19770511
1977.2,#N/A,7.8,7.9,7.4,6.9,6.8,6.7,6.6,6.5,#N/A,#N/A,#N/A,#N/A,#N/A,19770615
1977.3,#N/A,#N/A,7.4,7,6.9,6.7,6.6,6.5,6.4,6.3,#N/A,#N/A,#N/A,#N/A,19770713
1977.3,#N/A,#N/A,7.4,7,6.8,6.7,6.6,6.5,6.4,6.3,#N/A,#N/A,#N/A,#N/A,19770810
1977.3,#N/A,#N/A,7.4,7,7.1,7,6.8,6.7,6.6,6.6,#N/A,#N/A,#N/A,#N/A,19770914
1977.4,#N/A,7.4,7,7,6.9,6.7,6.7,6.6,6.6,#N/A,#N/A,#N/A,#N/A,#N/A,19771012
1977.4,#N/A,7.4,7,7,6.9,6.7,6.7,6.6,6.6,#N/A,#N/A,#N/A,#N/A,#N/A,19771109
